qiskit,shp_reduced,gleinig,topdown,dcsp,bdsp,lowrank,baa,merge,cvoqram,pivot,isometry,svd,ucg
120,1408,792,240,735,398,99,99,792,895,3198,120,126,120
120,1466,730,240,742,398,99,99,730,818,3048,120,126,120
120,1482,777,240,735,399,99,99,777,858,3486,120,126,120
120,1674,760,240,742,394,99,99,760,852,3192,120,126,120
120,1329,763,240,763,398,99,99,763,869,3491,120,126,120
120,1281,743,240,721,400,100,100,743,896,3921,120,127,120
120,1518,713,240,763,395,100,100,713,896,3636,120,127,120
120,1340,744,240,721,398,100,100,744,858,3765,120,127,120
120,1389,805,240,700,397,100,100,805,861,3329,120,126,120
120,1379,732,240,742,394,100,100,732,835,3202,120,127,120
120,1519,743,240,749,396,100,100,743,869,2906,120,127,120
120,1407,743,240,714,400,99,99,743,806,3616,120,127,120
120,1328,684,240,686,396,99,99,684,761,2758,120,126,120
120,1476,767,240,700,398,100,100,767,797,2912,120,127,120
120,1568,707,240,735,397,100,100,707,904,3620,120,127,120
120,1635,688,240,749,399,100,100,688,904,3916,120,126,120
120,1403,762,240,742,396,100,100,762,930,4055,120,127,120
120,1444,762,240,735,398,99,99,762,822,2912,120,126,120
120,1528,724,240,728,392,99,99,724,843,3333,120,126,120
120,1648,706,240,714,391,100,100,706,805,3479,120,127,120
120,1623,732,240,714,398,100,100,732,823,3629,120,127,120
120,1502,749,240,707,396,100,100,749,846,3634,120,127,120
120,1487,711,240,749,396,99,99,711,901,3916,120,127,120
120,1366,755,240,707,400,99,99,755,834,3752,120,126,120
120,1447,752,240,707,400,100,100,752,884,4197,120,127,120
120,1636,754,240,707,394,100,100,754,838,3763,120,126,120
120,1493,730,240,693,383,100,100,730,865,4492,120,127,120
120,1480,705,240,693,394,100,100,705,842,4206,120,127,120
120,1589,696,240,777,398,100,100,696,879,3049,120,127,120
120,1332,764,240,763,400,100,100,764,860,3484,120,127,120
120,1512,711,240,693,397,100,100,711,792,3339,120,126,120
120,1443,785,240,707,394,99,99,785,937,3771,120,127,120
120,1511,734,240,707,400,100,100,734,828,3484,120,126,120
120,1249,768,240,763,400,99,99,768,859,3483,120,127,120
120,1549,738,240,693,398,99,99,738,831,3331,120,127,120
120,1455,734,240,693,399,100,100,734,800,3349,120,127,120
120,1391,726,240,686,400,99,99,726,812,3044,120,127,120
120,1390,693,240,721,399,100,100,693,848,3629,120,127,120
120,1333,695,240,707,399,100,100,695,839,3472,120,126,120
120,1703,738,240,714,394,100,100,738,864,3916,120,126,120
120,1642,755,240,735,393,99,99,755,894,3614,120,127,120
120,1382,746,240,728,395,99,99,746,916,3776,120,126,120
120,1537,716,240,735,389,99,99,716,865,3319,120,126,120
120,1508,691,240,693,399,99,99,691,890,3340,120,127,120
120,1426,768,240,700,394,99,99,768,867,3478,120,126,120
120,1430,713,240,693,388,99,99,713,805,2910,120,126,120
120,1480,750,240,749,396,99,99,750,856,3203,120,127,120
120,1409,761,240,735,398,100,100,761,887,3762,120,126,120
120,1481,802,240,679,397,100,100,802,918,4057,120,126,120
120,1295,754,240,735,393,100,100,754,888,3917,120,126,120
120,1243,707,240,707,397,100,100,707,837,3910,120,127,120
120,1444,785,240,763,396,99,99,785,848,3469,120,127,120
120,1377,724,240,714,385,99,99,724,919,4068,120,126,120
120,1346,722,240,700,398,99,99,722,785,3899,120,126,120
120,1343,762,240,714,400,100,100,762,907,3336,120,127,120
120,1486,709,240,679,396,100,100,709,839,4046,120,126,120
120,1528,692,240,707,394,100,100,692,856,3767,120,126,120
120,1437,754,240,749,396,99,99,754,876,3621,120,126,120
120,1487,773,240,644,377,99,99,773,921,3628,120,127,120
120,1470,705,240,700,399,100,100,705,839,4482,120,127,120
120,1279,688,240,693,394,99,99,688,852,3328,120,127,120
120,1605,714,240,714,398,100,100,714,860,3629,120,127,120
120,1380,771,240,728,397,99,99,771,832,3057,120,127,120
120,1277,813,240,714,399,100,100,813,866,3914,120,127,120
120,1411,709,240,721,399,99,99,709,900,3337,120,127,120
120,1413,759,240,756,395,100,100,759,888,3048,120,127,120
120,1223,772,240,742,398,100,100,772,838,2756,120,127,120
120,1404,691,240,728,399,100,100,691,796,2766,120,126,120
120,1414,774,240,756,399,99,99,774,879,3474,120,127,120
120,1466,717,240,735,397,99,99,717,856,3769,120,127,120
120,1484,779,240,721,400,100,100,779,884,3341,120,126,120
120,1491,784,240,756,400,99,99,784,866,3342,120,127,120
120,1323,738,240,700,400,100,100,738,988,4061,120,127,120
120,1355,682,240,721,392,100,100,682,811,3172,120,127,120
120,1369,761,240,756,398,99,99,761,914,4030,120,126,120
120,1268,696,240,700,396,100,100,696,812,3192,120,127,120
120,1382,692,240,728,400,99,99,692,907,2754,120,127,120
120,1554,714,240,714,398,100,100,714,850,4343,120,126,120
120,1526,748,240,707,400,99,99,748,935,3331,120,126,120
120,1602,726,240,749,397,99,99,726,922,3756,120,126,120
120,1348,685,240,721,392,99,99,685,860,3620,120,127,120
120,1525,771,240,749,396,100,100,771,875,3345,120,127,120
120,1460,759,240,763,392,99,99,759,930,4058,120,126,120
120,1340,743,240,735,394,100,100,743,815,3334,120,126,120
120,1531,729,240,756,400,99,99,729,922,3631,120,126,120
120,1616,687,240,749,391,100,100,687,956,4203,120,127,120
120,1305,719,240,742,386,99,99,719,887,3766,120,126,120
120,1419,741,240,700,390,100,100,741,779,3038,120,126,120
120,1426,770,240,721,392,100,100,770,878,3768,120,126,120
120,1474,798,240,763,398,100,100,798,919,3917,120,127,120
120,1203,731,240,742,396,100,100,731,940,3908,120,126,120
120,1462,800,240,742,400,99,99,800,877,3760,120,126,120
120,1439,709,240,735,398,100,100,709,889,3490,120,126,120
120,1409,731,240,714,397,99,99,731,899,4342,120,127,120
120,1393,727,240,707,396,100,100,727,779,3186,120,126,120
120,1373,706,240,686,399,100,100,706,930,4059,120,127,120
120,1496,730,240,665,399,100,100,730,827,3759,120,127,120
120,1338,710,240,749,400,100,100,710,848,3333,120,126,120
120,1479,723,240,735,399,100,100,723,841,3473,120,126,120
120,1433,706,240,665,399,99,99,706,784,2923,120,127,120
120,1348,708,240,742,400,100,100,708,948,3771,120,126,120
120,1416,753,240,749,400,99,99,753,849,4054,120,126,120
120,1390,756,240,742,400,100,100,756,869,3923,120,126,120
120,1544,739,240,728,400,99,99,739,826,3328,120,127,120
120,1456,735,240,756,396,100,100,735,901,3341,120,127,120
120,1460,758,240,742,396,99,99,758,863,3621,120,127,120
120,1407,716,240,749,399,99,99,716,896,3482,120,126,120
120,1399,754,240,707,396,99,99,754,836,3485,120,127,120
120,1339,738,240,707,396,100,100,738,843,3903,120,127,120
120,1513,706,240,742,394,100,100,706,867,3478,120,126,120
120,1594,718,240,679,399,100,100,718,828,3187,120,127,120
120,1620,705,240,721,390,100,100,705,864,4334,120,127,120
120,1523,726,240,721,398,99,99,726,867,3188,120,126,120
120,1466,757,240,714,399,100,100,757,817,3206,120,126,120
120,1558,749,240,700,396,100,100,749,839,3633,120,127,120
120,1461,803,240,721,394,100,100,803,906,3764,120,126,120
120,1565,732,240,707,396,99,99,732,805,3923,120,127,120
120,1193,721,240,728,400,100,100,721,923,3471,120,127,120
120,1427,742,240,714,399,99,99,742,894,3193,120,126,120
120,1539,843,240,679,398,100,100,843,851,3479,120,127,120
120,1601,713,240,735,392,100,100,713,874,4183,120,127,120
120,1414,710,240,686,400,100,100,710,834,3493,120,127,120
120,1594,768,240,735,398,100,100,768,995,4477,120,126,120
120,1387,694,240,749,396,99,99,694,852,3338,120,127,120
120,1470,701,240,721,395,100,100,701,853,3033,120,127,120
120,1517,726,240,707,398,100,100,726,834,3488,120,127,120
120,1382,735,240,742,400,99,99,735,895,3773,120,126,120
120,1513,723,240,679,398,100,100,723,782,3346,120,127,120
120,1663,752,240,721,400,100,100,752,793,2913,120,126,120
120,1474,724,240,707,400,99,99,724,891,3616,120,127,120
120,1511,801,240,700,398,100,100,801,861,4061,120,126,120
120,1207,730,240,742,400,100,100,730,889,3477,120,126,120
120,1539,698,240,742,398,100,100,698,854,3919,120,126,120
120,1272,705,240,686,397,100,100,705,840,3776,120,126,120
120,1407,754,240,672,398,99,99,754,831,3336,120,127,120
120,1410,801,240,700,399,100,100,801,827,3629,120,126,120
120,1561,711,240,679,396,100,100,711,798,3926,120,127,120
120,1519,784,240,707,396,100,100,784,843,3330,120,126,120
120,1552,774,240,749,398,99,99,774,855,3043,120,127,120
120,1387,757,240,728,397,100,100,757,830,3189,120,127,120
120,1500,778,240,679,398,99,99,778,862,4048,120,127,120
120,1407,756,240,728,399,99,99,756,872,3913,120,127,120
120,1398,751,240,686,390,100,100,751,814,3622,120,127,120
120,1484,714,240,672,398,99,99,714,877,4338,120,126,120
120,1393,735,240,721,397,99,99,735,879,4055,120,127,120
120,1318,725,240,735,400,100,100,725,854,3054,120,127,120
120,1481,686,240,693,396,99,99,686,795,3909,120,127,120
120,1432,796,240,707,400,99,99,796,836,3188,120,127,120
120,1246,733,240,763,400,99,99,733,919,3484,120,126,120
120,1451,704,240,742,400,99,99,704,935,3608,120,127,120
120,1433,741,240,679,393,100,100,741,822,3906,120,127,120
120,1612,730,240,672,394,100,100,730,816,3193,120,126,120
120,1323,812,240,714,391,99,99,812,944,4192,120,126,120
120,1539,714,240,714,395,100,100,714,859,4351,120,127,120
120,1401,725,240,707,400,99,99,725,867,3333,120,126,120
120,1444,842,240,707,398,99,99,842,886,3346,120,126,120
120,1475,715,240,651,396,99,99,715,844,4345,120,126,120
120,1663,722,240,721,400,99,99,722,910,3049,120,126,120
120,1381,708,240,735,393,100,100,708,891,3181,120,126,120
120,1415,682,240,686,386,100,100,682,840,4492,120,127,120
120,1416,708,240,770,394,100,100,708,917,3200,120,126,120
120,1418,715,240,714,391,100,100,715,858,3619,120,127,120
120,1536,733,240,728,390,100,100,733,863,3483,120,126,120
120,1375,791,240,714,397,100,100,791,878,3481,120,126,120
120,1459,726,240,735,398,99,99,726,820,3610,120,126,120
120,1310,732,240,728,398,100,100,732,838,3910,120,126,120
