qiskit,linear,linear_reduced,shp_reduced,mst_reduced,shp,mst,random,random_reduced,graycode_reduced,gleinig,topdown,dcsp,bdsp,merge,cvoqram,pivot,isometry,ucg
120,752,53,35,35,738,737,758,69,50,20,240,266,238,20,143,117,120,120
120,750,41,41,44,747,739,754,77,54,28,238,385,280,28,154,114,120,120
120,750,53,35,45,742,742,752,65,62,21,222,315,265,21,141,102,120,120
120,743,39,34,36,739,738,748,65,39,20,239,196,170,20,103,115,120,120
120,758,60,42,45,748,746,759,71,58,21,240,364,313,21,159,103,120,120
120,753,46,30,42,742,738,755,62,45,26,240,252,201,26,112,97,120,120
120,748,41,51,44,745,740,764,53,36,20,236,343,295,20,116,114,120,120
120,750,59,26,44,742,740,752,48,50,17,240,259,186,17,156,124,120,120
116,744,52,37,48,743,738,762,70,58,18,224,329,296,18,135,118,116,120
120,742,34,36,32,735,733,747,93,26,18,240,329,256,18,124,114,120,120
120,750,52,46,37,743,742,754,45,57,23,224,329,274,23,149,121,120,120
120,746,40,43,47,740,740,745,71,66,17,236,217,201,17,115,113,120,120
120,751,57,33,44,742,739,750,63,65,24,240,224,203,24,131,117,120,120
116,743,67,33,40,740,738,753,81,48,22,236,469,350,22,176,104,116,120
114,747,51,49,47,745,739,749,70,48,20,222,259,276,20,130,114,114,114
112,744,46,28,37,738,736,748,87,39,22,222,336,274,22,144,116,112,120
120,752,56,41,51,749,741,749,69,45,24,222,322,306,24,129,111,120,120
120,756,60,42,34,748,740,750,71,54,24,232,329,304,24,121,85,120,120
120,749,51,52,46,748,748,755,65,62,36,240,308,293,36,123,119,120,120
120,756,48,38,40,743,741,755,76,58,30,232,343,335,30,139,115,120,120
120,756,49,48,40,744,739,752,64,38,26,236,252,258,26,100,86,120,120
120,754,73,46,41,742,740,759,74,59,32,236,231,157,32,105,101,120,120
120,745,39,22,24,739,737,758,107,43,19,240,301,240,19,143,105,120,120
120,745,41,32,30,737,734,756,38,49,23,214,294,313,23,129,118,120,120
114,748,32,35,34,744,744,762,68,44,21,206,322,280,21,102,83,114,120
