qiskit,shp_reduced,gleinig,topdown,dcsp,bdsp,merge,cvoqram,pivot,isometry
1013,3714,1971,2026,3738,2803,1971,2739,20280,1013
1013,3841,2157,2026,3619,2598,2157,2621,19166,1013
1013,4048,2042,2026,3745,2776,2042,2692,20265,1013
1013,4322,2057,2026,3780,2746,2057,2733,20717,1013
1013,3875,1957,2026,3528,2752,1957,2601,18928,1013
1013,3801,2127,2026,3738,2575,2127,2694,20486,1013
1013,4120,1962,2026,3710,2631,1962,2700,19401,1013
1013,4183,1975,2026,3906,2741,1975,2748,20502,1013
1013,4103,2039,2026,3528,2609,2039,2603,19392,1013
1013,4205,2064,2026,3745,2733,2064,2860,19840,1013
1013,3614,2160,2026,3612,2619,2160,2625,19628,1013
1013,3932,2107,2026,3465,2686,2107,2668,20485,1013
1013,3943,1974,2026,3318,2708,1974,2528,20036,1013
1013,4257,2104,2026,3801,2752,2104,2595,18731,1013
1013,4305,2072,2026,3710,2656,2072,2703,20935,1013
1013,3887,2077,2026,3444,2539,2077,2553,20053,1013
1013,3987,1917,2026,3689,2726,1917,2812,19828,1013
1013,4042,2143,2026,3556,2687,2143,2670,20737,1013
1013,4195,2112,2026,3780,2663,2112,2751,19859,1013
1013,4171,2006,2026,3542,2719,2006,2735,20054,1013
1013,4350,1935,2026,3633,2710,1935,2565,20489,1013
1013,4072,2019,2026,3479,2674,2019,2664,19587,1013
1013,3973,2170,2026,3787,2805,2170,2687,20045,1013
1013,4362,2137,2026,3808,2677,2137,2728,18484,1013
1013,4147,2029,2026,3675,2651,2029,2614,19841,1013
1013,4413,2122,2026,3752,2695,2122,2760,19385,1013
1013,4217,1975,2026,3479,2644,1975,2517,19129,1013
1013,3817,2125,2026,3584,2624,2125,2578,19149,1013
1013,4074,2033,2026,3717,2715,2033,2686,20509,1013
1013,4343,1986,2026,3640,2751,1986,2690,19600,1013
1013,4161,1953,2026,3717,2629,1953,2634,19392,1013
1013,4183,2046,2026,3857,2748,2046,2642,19598,1013
1013,4302,2208,2012,3899,2694,2208,2762,20042,1013
1013,4243,2072,2026,3486,2677,2072,2542,19159,1013
